大类	测试用例	要求		
采集	数据采集	支持Android、iOS、Web、小程序等的无埋点数据采集。
		支持全量采集用户会话，并具备采集用户行为、崩溃、网络请求、应用启动、视图启动、页面加载、JS错误、环境信息（CPU、内存、网络、电量）等的能力。
		支持采集会话过程中的业务数据，从网络请求的请求参数（header信息等）、Cookie、控件属性中采集。
		支持客户端中的webview数据采集，及用户会话采集。
Web & 小程序	JS错误分析	支持查看JS错误次数、JS错误影响用户、JS错误会话等关键指标
		支持查看JS错误现场的堆栈信息、现场信息（可还原至源码错误位置）。
		支持统计TOP5的JS错误类型
	页面性能分析	支持按域名、路径、参数、错误码、地区、运营商和网络接入方式等维度分析页面加载的体验。支持展示Ajax请求的响应时间、慢请求占比、错误率、慢请求影响用户数、错误影响用户数
		支持对页面加载进行拆解，便于分析在哪个阶段耗时最长。支持的指标包括DNS解析，TCP建连，阻塞耗时，应用耗时，首包时间，网络耗时，DOM处理，页面渲染，总响应时间（从开始浏览计时），首次渲染时间（从开始浏览计时）
	网络请求分析	支持查看网络请求的请求次数、错误率、响应时间等关键指标。
		支持对请求耗时进行拆解，便于分析哪个阶段耗时长，分为：DNS、TCP、SSL、服务器响应、接收耗时等。
	用户体验分析	支持页面白屏、慢加载、首屏、异常会话、网络请求、耗时等指标进行用户体验分析
		支持监控页面中的可交互操作（可点击的按钮、文字、图片、链接等）的用户体验，包括操作次数、操作时间、操作可用性、ajax响应时间、ajax错误率、服务端响应时间、服务端响应次数等指标
		支持追踪页面中的异常操作（失败操作和慢操作），提供用户轨迹和请求瀑布图
	自定义上送	支持自定义上送事件：包含自定义三方异常、接口事件、操作事件等
	用户溯源分析	支持完整还原用户从打开应用到退出应用的全过程，记录了用户的行为和应用的执行情况（包括：针对该用户的应用启动、页面加载、网络请求、崩溃、ANR、JS错误等）用户行为包含：客户请求的具体页面，操作的具体事件，如进入某页面点击按钮事件等详细操作
APP	崩溃分析	可查看崩溃次数、崩溃率、崩溃影响用户、崩溃会话等关键指标。
		可查看崩溃现场的堆栈信息、设备信息、现场信息、用户行为、系统日志、自定义信息。可进行崩溃溯源，方便定位问题代码行。
